"Basename","Sample_Name","Sample_Plate","Sample_Well","Sentrix_ID","Sentrix_Position","Sample_Group","Pool_ID"
"207678520127_R08C01","431-BG00112","Plate02","H2",207678520127,"R08C01","431-BG00112",NA
"207804210001_R01C01","431-BG00157","Plate02","A3",207804210001,"R01C01","431-BG00157",NA
"207804210001_R02C01","431-BG00170","Plate02","B3",207804210001,"R02C01","431-BG00170",NA
"207804210001_R03C01","431-BG00142","Plate02","C3",207804210001,"R03C01","431-BG00142",NA
"207804210001_R04C01","431-BG00141","Plate02","D3",207804210001,"R04C01","431-BG00141",NA
"207804210001_R05C01","431-BG00118","Plate02","E3",207804210001,"R05C01","431-BG00118",NA
"207804210001_R06C01","431-BG00111","Plate02","F3",207804210001,"R06C01","431-BG00111",NA
"207804210001_R07C01","431-BG00171","Plate02","G3",207804210001,"R07C01","431-BG00171",NA
"207804210001_R08C01","431-BG00120","Plate02","H3",207804210001,"R08C01","431-BG00120",NA
"207804200073_R01C01","431-BG00130","Plate02","A4",207804200073,"R01C01","431-BG00130",NA
"207804200073_R02C01","431-BG00138","Plate02","B4",207804200073,"R02C01","431-BG00138",NA
"207804200073_R03C01","431-BG00164","Plate02","C4",207804200073,"R03C01","431-BG00164",NA
"207804200073_R04C01","431-BG00147","Plate02","D4",207804200073,"R04C01","431-BG00147",NA
"207804200073_R05C01","431-BG00174","Plate02","E4",207804200073,"R05C01","431-BG00174",NA
"207804200073_R06C01","431-BG00152","Plate02","F4",207804200073,"R06C01","431-BG00152",NA
"207804200073_R07C01","431-BG00175","Plate02","G4",207804200073,"R07C01","431-BG00175",NA
"207804200073_R08C01","431-BG00187","Plate02","H4",207804200073,"R08C01","431-BG00187",NA
"207678520132_R01C01","431-BG00219","Plate02","A5",207678520132,"R01C01","431-BG00219",NA
"207678520132_R02C01","431-BG00116","Plate02","B5",207678520132,"R02C01","431-BG00116",NA
"207678520132_R03C01","431-BG00178","Plate02","C5",207678520132,"R03C01","431-BG00178",NA
"207678520132_R04C01","431-BG00149","Plate02","D5",207678520132,"R04C01","431-BG00149",NA
"207678520132_R05C01","431-BG00091","Plate02","E5",207678520132,"R05C01","431-BG00091",NA
"207678520132_R06C01","431-BG00198","Plate02","F5",207678520132,"R06C01","431-BG00198",NA
"207678520132_R07C01","431-BG00033","Plate02","G5",207678520132,"R07C01","431-BG00033",NA
"207678520132_R08C01","431-BG00117","Plate02","H5",207678520132,"R08C01","431-BG00117",NA
"207804210002_R01C01","431-BG00121","Plate02","A6",207804210002,"R01C01","431-BG00121",NA
"207804210002_R02C01","431-BG00109","Plate02","B6",207804210002,"R02C01","431-BG00109",NA
"207804210002_R03C01","431-BG00124","Plate02","C6",207804210002,"R03C01","431-BG00124",NA
"207804210002_R04C01","431-BG00119","Plate02","D6",207804210002,"R04C01","431-BG00119",NA
"207804210002_R05C01","431-BG00104","Plate02","E6",207804210002,"R05C01","431-BG00104",NA
"207804210002_R06C01","431-BG00114","Plate02","F6",207804210002,"R06C01","431-BG00114",NA
"207804210002_R07C01","431-BG00115","Plate02","G6",207804210002,"R07C01","431-BG00115",NA
"207804210002_R08C01","431-BG00099","Plate02","H6",207804210002,"R08C01","431-BG00099",NA
"207804210057_R01C01","431-BG00098","Plate02","A7",207804210057,"R01C01","431-BG00098",NA
"207804210057_R02C01","431-BG00106","Plate02","B7",207804210057,"R02C01","431-BG00106",NA
"207804210057_R03C01","431-BG00105","Plate02","C7",207804210057,"R03C01","431-BG00105",NA
"207804210057_R04C01","431-BG00122","Plate02","D7",207804210057,"R04C01","431-BG00122",NA
"207804210057_R05C01","431-BG00081","Plate02","E7",207804210057,"R05C01","431-BG00081",NA
"207804210057_R06C01","431-BG00127","Plate02","F7",207804210057,"R06C01","431-BG00127",NA
"207804210057_R07C01","431-BG00144","Plate02","G7",207804210057,"R07C01","431-BG00144",NA
"207804210057_R08C01","431-BG00158","Plate02","H7",207804210057,"R08C01","431-BG00158",NA
"207804200079_R01C01","431-BG00166","Plate02","A8",207804200079,"R01C01","431-BG00166",NA
"207804200079_R02C01","431-BG00039","Plate02","B8",207804200079,"R02C01","431-BG00039",NA
"207804200079_R03C01","431-BG00143","Plate02","C8",207804200079,"R03C01","431-BG00143",NA
"207804200079_R04C01","431-BG00146","Plate02","D8",207804200079,"R04C01","431-BG00146",NA
"207804200079_R05C01","431-BG00156","Plate02","E8",207804200079,"R05C01","431-BG00156",NA
"207804200079_R06C01","431-BG00148","Plate02","F8",207804200079,"R06C01","431-BG00148",NA
"207804200079_R07C01","431-BG00162","Plate02","G8",207804200079,"R07C01","431-BG00162",NA
"207804200079_R08C01","431-BG00131","Plate02","H8",207804200079,"R08C01","431-BG00131",NA
"207678520136_R01C01","431-BG00129","Plate02","A9",207678520136,"R01C01","431-BG00129",NA
"207678520136_R02C01","431-BG00125","Plate02","B9",207678520136,"R02C01","431-BG00125",NA
"207678520136_R03C01","431-BG00107","Plate02","C9",207678520136,"R03C01","431-BG00107",NA
"207678520136_R04C01","431-BG00139","Plate02","D9",207678520136,"R04C01","431-BG00139",NA
"207678520136_R05C01","431-BG00103","Plate02","E9",207678520136,"R05C01","431-BG00103",NA
"207678520136_R06C01","431-BG00253","Plate02","F9",207678520136,"R06C01","431-BG00253",NA
"207678520136_R07C01","431-BG00307","Plate02","G9",207678520136,"R07C01","431-BG00307",NA
"207678520136_R08C01","431-BG00431","Plate02","H9",207678520136,"R08C01","431-BG00431",NA
"207804210009_R01C01","431-BG00377","Plate02","A10",207804210009,"R01C01","431-BG00377",NA
"207804210009_R02C01","431-BG00439","Plate02","B10",207804210009,"R02C01","431-BG00439",NA
"207804210009_R03C01","431-BG00465","Plate02","C10",207804210009,"R03C01","431-BG00465",NA
"207804210009_R04C01","431-BG00456","Plate02","D10",207804210009,"R04C01","431-BG00456",NA
"207804210009_R05C01","431-BG00515","Plate02","E10",207804210009,"R05C01","431-BG00515",NA
"207804210009_R06C01","431-BG00528","Plate02","F10",207804210009,"R06C01","431-BG00528",NA
"207804210009_R07C01","431-BG00512","Plate02","G10",207804210009,"R07C01","431-BG00512",NA
"207804210009_R08C01","431-BG00537","Plate02","H10",207804210009,"R08C01","431-BG00537",NA
"207804200002_R01C01","431-BG00491","Plate02","A11",207804200002,"R01C01","431-BG00491",NA
"207804200002_R02C01","431-BG00490","Plate02","B11",207804200002,"R02C01","431-BG00490",NA
"207804200002_R03C01","431-BG00400","Plate02","C11",207804200002,"R03C01","431-BG00400",NA
"207804200002_R04C01","431-BG00520","Plate02","D11",207804200002,"R04C01","431-BG00520",NA
"207804200002_R05C01","431-BG00468","Plate02","E11",207804200002,"R05C01","431-BG00468",NA
"207804200002_R06C01","431-BG00540","Plate02","F11",207804200002,"R06C01","431-BG00540",NA
"207804200002_R07C01","431-BG00445","Plate02","G11",207804200002,"R07C01","431-BG00445",NA
"207804200002_R08C01","431-BG00506","Plate02","H11",207804200002,"R08C01","431-BG00506",NA
"207804200074_R01C01","431-BG00434","Plate02","A12",207804200074,"R01C01","431-BG00434",NA
"207804200074_R02C01","431-BG00365","Plate02","B12",207804200074,"R02C01","431-BG00365",NA
"207804200074_R03C01","431-BG00494","Plate02","C12",207804200074,"R03C01","431-BG00494",NA
"207804200074_R04C01","431-BG00469","Plate02","D12",207804200074,"R04C01","431-BG00469",NA
"207804200074_R05C01","431-BG00483","Plate02","E12",207804200074,"R05C01","431-BG00483",NA
"207804200074_R06C01","431-BG00464","Plate02","F12",207804200074,"R06C01","431-BG00464",NA
"207804200074_R07C01","431-BG00511","Plate02","G12",207804200074,"R07C01","431-BG00511",NA
"207804200074_R08C01","431-BG00408","Plate02","H12",207804200074,"R08C01","431-BG00408",NA
"207804200017_R01C01","431-BG00225","Plate03","A1",207804200017,"R01C01","431-BG00225",NA
"207804200017_R02C01","431-BG00502","Plate03","B1",207804200017,"R02C01","431-BG00502",NA
"207804200017_R03C01","431-BG00477","Plate03","C1",207804200017,"R03C01","431-BG00477",NA
"207804200017_R04C01","431-BG00453","Plate03","D1",207804200017,"R04C01","431-BG00453",NA
"207804200017_R05C01","431-BG00329","Plate03","E1",207804200017,"R05C01","431-BG00329",NA
"207804200017_R06C01","431-BG00532","Plate03","F1",207804200017,"R06C01","431-BG00532",NA
"207804200017_R07C01","431-BG00504","Plate03","G1",207804200017,"R07C01","431-BG00504",NA
"207804200017_R08C01","431-BG00467","Plate03","H1",207804200017,"R08C01","431-BG00467",NA
"207804200039_R01C01","431-BG00028","Plate03","A2",207804200039,"R01C01","431-BG00028",NA
"207804200039_R02C01","431-BG00510","Plate03","B2",207804200039,"R02C01","431-BG00510",NA
"207804200039_R03C01","431-BG00560","Plate03","C2",207804200039,"R03C01","431-BG00560",NA
"207804200039_R04C01","431-BG00527","Plate03","D2",207804200039,"R04C01","431-BG00527",NA
"207804200039_R05C01","431-BG00440","Plate03","E2",207804200039,"R05C01","431-BG00440",NA
"207804200039_R06C01","431-BG00290","Plate03","F2",207804200039,"R06C01","431-BG00290",NA
"207804200039_R07C01","431-BG00516","Plate03","G2",207804200039,"R07C01","431-BG00516",NA
"207804200039_R08C01","431-BG00415","Plate03","H2",207804200039,"R08C01","431-BG00415",NA
"207920290037_R01C01","431-BG00312","Plate03","A3",207920290037,"R01C01","431-BG00312",NA
"207920290037_R02C01","431-BG00524","Plate03","B3",207920290037,"R02C01","431-BG00524",NA
"207920290037_R03C01","431-BG00447","Plate03","C3",207920290037,"R03C01","431-BG00447",NA
"207920290037_R04C01","431-BG00476","Plate03","D3",207920290037,"R04C01","431-BG00476",NA
"207920290037_R05C01","431-BG00517","Plate03","E3",207920290037,"R05C01","431-BG00517",NA
"207920290037_R06C01","431-BG00489","Plate03","F3",207920290037,"R06C01","431-BG00489",NA
"207920290037_R07C01","431-BG00410","Plate03","G3",207920290037,"R07C01","431-BG00410",NA
"207920290037_R08C01","431-BG00396","Plate03","H3",207920290037,"R08C01","431-BG00396",NA
"207925050100_R01C01","431-BG00412","Plate03","A4",207925050100,"R01C01","431-BG00412",NA
"207925050100_R02C01","431-BG00487","Plate03","B4",207925050100,"R02C01","431-BG00487",NA
"207925050100_R03C01","431-BG00328","Plate03","C4",207925050100,"R03C01","431-BG00328",NA
"207925050100_R04C01","431-BG00559","Plate03","D4",207925050100,"R04C01","431-BG00559",NA
"207925050100_R05C01","431-BG00518","Plate03","E4",207925050100,"R05C01","431-BG00518",NA
"207925050100_R06C01","431-BG00433","Plate03","F4",207925050100,"R06C01","431-BG00433",NA
"207925050100_R07C01","431-BG00538","Plate03","G4",207925050100,"R07C01","431-BG00538",NA
"207925050100_R08C01","431-BG00541","Plate03","H4",207925050100,"R08C01","431-BG00541",NA
"207804200029_R01C01","431-BG00332","Plate03","A5",207804200029,"R01C01","431-BG00332",NA
"207804200029_R02C01","431-BG00470","Plate03","B5",207804200029,"R02C01","431-BG00470",NA
"207804200029_R03C01","431-BG00493","Plate03","C5",207804200029,"R03C01","431-BG00493",NA
"207804200029_R04C01","431-BG00463","Plate03","D5",207804200029,"R04C01","431-BG00463",NA
"207804200029_R05C01","431-BG00492","Plate03","E5",207804200029,"R05C01","431-BG00492",NA
"207804200029_R06C01","431-BG00461","Plate03","F5",207804200029,"R06C01","431-BG00461",NA
"207804200029_R07C01","431-BG00459","Plate03","G5",207804200029,"R07C01","431-BG00459",NA
"207804200029_R08C01","431-BG00474","Plate03","H5",207804200029,"R08C01","431-BG00474",NA
"207920290002_R01C01","431-BG00406","Plate03","A6",207920290002,"R01C01","431-BG00406",NA
"207920290002_R02C01","431-BG00394","Plate03","B6",207920290002,"R02C01","431-BG00394",NA
"207920290002_R03C01","431-BG00349","Plate03","C6",207920290002,"R03C01","431-BG00349",NA
"207920290002_R04C01","431-BG00402","Plate03","D6",207920290002,"R04C01","431-BG00402",NA
"207920290002_R05C01","431-BG00460","Plate03","E6",207920290002,"R05C01","431-BG00460",NA
"207920290002_R06C01","431-BG00529","Plate03","F6",207920290002,"R06C01","431-BG00529",NA
"207920290002_R07C01","431-BG00413","Plate03","G6",207920290002,"R07C01","431-BG00413",NA
"207920290002_R08C01","431-BG00498","Plate03","H6",207920290002,"R08C01","431-BG00498",NA
"207925050084_R01C01","431-BG00375","Plate03","A7",207925050084,"R01C01","431-BG00375",NA
"207925050084_R02C01","431-BG00418","Plate03","B7",207925050084,"R02C01","431-BG00418",NA
"207925050084_R03C01","431-BG00390","Plate03","C7",207925050084,"R03C01","431-BG00390",NA
"207925050084_R04C01","431-BG00442","Plate03","D7",207925050084,"R04C01","431-BG00442",NA
"207925050084_R05C01","431-BG00525","Plate03","E7",207925050084,"R05C01","431-BG00525",NA
"207925050084_R06C01","431-BG00444","Plate03","F7",207925050084,"R06C01","431-BG00444",NA
"207925050084_R07C01","431-BG00505","Plate03","G7",207925050084,"R07C01","431-BG00505",NA
"207925050084_R08C01","431-BG00404","Plate03","H7",207925050084,"R08C01","431-BG00404",NA
"207925050099_R01C01","431-BG00452","Plate03","A8",207925050099,"R01C01","431-BG00452",NA
"207925050099_R02C01","431-BG00526","Plate03","B8",207925050099,"R02C01","431-BG00526",NA
"207925050099_R03C01","431-BG00292","Plate03","C8",207925050099,"R03C01","431-BG00292",NA
"207925050099_R04C01","431-BG00458","Plate03","D8",207925050099,"R04C01","431-BG00458",NA
"207925050099_R05C01","431-BG00388","Plate03","E8",207925050099,"R05C01","431-BG00388",NA
"207925050099_R06C01","431-BG00484","Plate03","F8",207925050099,"R06C01","431-BG00484",NA
"207925050099_R07C01","431-BG00389","Plate03","G8",207925050099,"R07C01","431-BG00389",NA
"207925050099_R08C01","431-BG00417","Plate03","H8",207925050099,"R08C01","431-BG00417",NA
"207804200019_R01C01","431-BG00475","Plate03","A9",207804200019,"R01C01","431-BG00475",NA
"207804200019_R02C01","431-BG00432","Plate03","B9",207804200019,"R02C01","431-BG00432",NA
"207804200019_R03C01","431-BG00425","Plate03","C9",207804200019,"R03C01","431-BG00425",NA
"207804200019_R04C01","431-BG00441","Plate03","D9",207804200019,"R04C01","431-BG00441",NA
"207804200019_R05C01","431-BG00414","Plate03","E9",207804200019,"R05C01","431-BG00414",NA
"207804200019_R06C01","431-BG00451","Plate03","F9",207804200019,"R06C01","431-BG00451",NA
"207804200019_R07C01","431-BG00420","Plate03","G9",207804200019,"R07C01","431-BG00420",NA
"207804200019_R08C01","431-BG00407","Plate03","H9",207804200019,"R08C01","431-BG00407",NA
"207920290009_R01C01","431-BG00347","Plate03","A10",207920290009,"R01C01","431-BG00347",NA
"207920290009_R02C01","431-BG00373","Plate03","B10",207920290009,"R02C01","431-BG00373",NA
"207920290009_R03C01","431-BG00161","Plate03","C10",207920290009,"R03C01","431-BG00161",NA
"207920290009_R04C01","431-BG00405","Plate03","D10",207920290009,"R04C01","431-BG00405",NA
"207920290009_R05C01","431-BG00333","Plate03","E10",207920290009,"R05C01","431-BG00333",NA
"207920290009_R06C01","431-BG00421","Plate03","F10",207920290009,"R06C01","431-BG00421",NA
"207920290009_R07C01","431-BG00462","Plate03","G10",207920290009,"R07C01","431-BG00462",NA
"207920290009_R08C01","431-BG00411","Plate03","H10",207920290009,"R08C01","431-BG00411",NA
"207925050051_R01C01","431-BG00449","Plate03","A11",207925050051,"R01C01","431-BG00449",NA
"207925050051_R02C01","431-BG00382","Plate03","B11",207925050051,"R02C01","431-BG00382",NA
"207925050051_R03C01","431-BG00436","Plate03","C11",207925050051,"R03C01","431-BG00436",NA
"207925050051_R04C01","431-BG00438","Plate03","D11",207925050051,"R04C01","431-BG00438",NA
"207925050051_R05C01","431-BG00428","Plate03","E11",207925050051,"R05C01","431-BG00428",NA
"207925050051_R06C01","431-BG00419","Plate03","F11",207925050051,"R06C01","431-BG00419",NA
"207925050051_R07C01","431-BG00356","Plate03","G11",207925050051,"R07C01","431-BG00356",NA
"207925050051_R08C01","431-BG00368","Plate03","H11",207925050051,"R08C01","431-BG00368",NA
"207920290001_R01C01","431-BG00500","Plate03","A12",207920290001,"R01C01","431-BG00500",NA
"207920290001_R02C01","431-BG00499","Plate03","B12",207920290001,"R02C01","431-BG00499",NA
"207920290001_R03C01","431-BG00479","Plate03","C12",207920290001,"R03C01","431-BG00479",NA
"207920290001_R04C01","431-BG00576","Plate03","D12",207920290001,"R04C01","431-BG00576",NA
"207920290001_R05C01","431-BG00577","Plate03","E12",207920290001,"R05C01","431-BG00577",NA
"207920290001_R06C01","431-BG00486","Plate03","F12",207920290001,"R06C01","431-BG00486",NA
"207920290001_R07C01","431-BG00552","Plate03","G12",207920290001,"R07C01","431-BG00552",NA
"207920290001_R08C01","431-BG00558","Plate03","H12",207920290001,"R08C01","431-BG00558",NA
"207925050052_R01C01","431-BG00570","Plate04","A1",207925050052,"R01C01","431-BG00570",NA
"207925050052_R02C01","431-BG00514","Plate04","B1",207925050052,"R02C01","431-BG00514",NA
"207925050052_R03C01","431-BG00557","Plate04","C1",207925050052,"R03C01","431-BG00557",NA
"207925050052_R04C01","431-BG00583","Plate04","D1",207925050052,"R04C01","431-BG00583",NA
"207925050052_R05C01","431-BG00481","Plate04","E1",207925050052,"R05C01","431-BG00481",NA
"207925050052_R06C01","431-BG00545","Plate04","F1",207925050052,"R06C01","431-BG00545",NA
